;t;x;y;z
0;0.11957412958145142;440.5;181.25;75.74709682309005
1;0.1515185832977295;435.0;166.0;100.61795759100222
0;0.2163044810295105;444.75;141.0;96.59317388906629
1;0.2461531162261963;450.0;132.0;96.33875226993055
0;0.3072667121887207;458.75;123.5;95.13249148963848
1;0.3376779556274414;462.0;122.0;93.8430803866523
0;0.4003366231918335;465.0;122.25;91.68539712770519
1;0.43306612968444824;466.0;123.0;90.98754372909411
0;0.5107290148735046;466.0;124.75;89.07549709354156
1;0.5929310321807861;466.0;125.0;88.74286540379815
0;0.6508607864379883;464.0;124.75;87.15177301861358
1;0.682178258895874;463.0;124.0;85.39596074132022
0;0.7438602447509766;460.0;123.75;85.70945790951109
1;0.7748322486877441;459.0;123.0;85.8139569655747
0;0.8373407125473022;459.25;122.0;85.50045979738384
1;0.868722677230835;460.0;121.0;85.39596074132022
0;0.930031418800354;463.25;120.25;86.41084680561967
1;0.9612624645233154;466.0;120.0;86.62181243298022
0;1.0219308733940125;476.75;124.5;87.4761555791132
1;1.0527746677398682;483.0;129.0;87.48410477311583
0;1.1162145137786865;498.75;144.75;85.51398675606245
1;1.148118257522583;506.0;156.0;87.92476554086731
0;1.2097958326339722;514.75;183.5;88.00642071618194
1;1.240828037261963;518.0;197.0;86.74569391822736
0;1.3026043176651;515.5;227.75;89.33644040297261
1;1.333677053451538;511.0;241.0;90.19488874834687
0;1.3978474736213684;495.75;258.75;90.54781919976922
1;1.4288814067840576;485.0;264.0;91.46396205941228
0;1.5380527973175049;399.25;240.0;93.0250704590904
1;1.5689566135406494;390.0;226.0;91.20237971177967
0;1.63129323720932;382.25;198.0;91.62015105028392
1;1.6614279747009277;382.0;180.0;93.33933358069082
0;1.7239223718643188;388.0;154.25;95.26278020515673
1;1.7551348209381104;394.0;145.0;96.33875226993055
0;1.8178775310516357;411.75;126.0;92.8880337716373
1;1.849153995513916;423.0;117.0;89.6262721454729
0;1.9131420254707336;442.25;115.5;84.27813261657333
1;1.9443378448486328;445.0;116.0;83.31579982812373
0;2.0063832998275757;473.5;137.0;86.10439973004915
1;2.0373919010162354;484.0;150.0;87.48410477311583
0;2.099585473537445;489.75;164.5;87.33430467961394
1;2.130394220352173;495.0;179.0;87.64359709483591
0;2.192654013633728;497.25;208.25;90.10034703633046
1;2.223745584487915;496.0;221.0;90.50952147707464
0;2.287177264690399;484.25;238.25;90.15054509903261
1;2.3177390098571777;475.0;244.0;90.70338352058435
0;2.3799734115600586;450.75;243.5;89.87077854384503
1;2.4108588695526123;438.0;239.0;87.37296361362706
0;2.4720153212547302;417.0;223.5;91.43859501635075
1;2.503019094467163;409.0;208.0;89.28671456879115
0;2.5667654275894165;402.75;183.75;90.58940867274832
1;2.5983798503875732;400.0;171.0;91.9293542196895
0;2.6604484915733337;409.5;146.5;93.01791780718173
1;2.691600799560547;414.0;140.0;96.33875226993055
0;2.7531585693359375;432.25;120.5;84.9890064329453
1;2.7842774391174316;442.0;116.0;79.41442768568533
0;2.847361147403717;461.25;120.5;84.94527806222655
1;2.880274534225464;471.0;127.0;87.04983785476944
0;2.9588702917099;485.0;146.0;86.29055542233522
1;2.9885916709899902;491.0;159.0;86.74569391822736
0;3.0492308139801025;496.5;190.75;91.25492131853548
1;3.0807666778564453;497.0;208.0;93.4838333106787
0;3.141622483730316;484.75;237.25;91.12593708844975
1;3.173429489135742;467.0;252.0;89.90065254594911
0;3.2359511256217957;438.25;247.5;87.76369387232826
1;3.267514944076538;430.0;243.0;90.01282299419914
0;3.329791784286499;403.25;219.0;88.47497150743268
1;3.360541820526123;393.0;202.0;86.66820736382623
0;3.4226309061050415;383.25;173.0;90.78381165968689
1;3.4545395374298096;384.0;158.0;92.39240587820969
0;3.517695903778076;387.0;140.5;95.0936532989175
1;3.548064708709717;390.0;133.0;97.39928409919453
0;3.61866694688797;413.5;115.75;97.03062450615596
1;3.6734023094177246;427.0;111.0;95.31128236711996
0;3.7354616522789;440.25;112.75;94.087375938077
1;3.766484498977661;453.0;115.0;89.38818674813754
0;3.8295884132385254;474.75;128.25;95.09792029827803
1;3.863913059234619;485.0;137.0;93.39705508736232
0;3.9253823161125183;501.5;162.25;91.25600024437509
1;3.954261302947998;508.0;174.0;90.14276015710126
0;4.016335070133209;512.25;201.5;100.0846605533115
1;4.048710346221924;510.0;214.0;96.32821141469448
0;4.110734224319458;494.5;233.25;93.59887283637175
1;4.1415181159973145;483.0;239.0;89.86622067984888
0;4.204340577125549;454.0;240.0;88.73923890938262
1;4.2354114055633545;437.0;236.0;90.615114085622
0;4.297442197799683;414.25;217.25;90.47286252883964
1;4.327843427658081;404.0;204.0;90.2296901345263
0;4.3914676904678345;397.5;176.5;93.46832241240904
1;4.421605110168457;397.0;164.0;94.31519992156267
0;4.4857137799263;404.75;141.5;95.7309257157007
1;4.516810178756714;412.0;131.0;95.32150121188214
0;4.580138266086578;428.5;119.75;97.50512286159235
1;4.613533020019531;438.0;116.0;96.84871231859117
0;4.67556494474411;459.25;119.0;92.59137762639965
1;4.70634651184082;469.0;124.0;91.58193710357288
0;4.768926799297333;484.75;143.0;92.33768561468464
1;4.800187349319458;490.0;155.0;91.98456245712542
0;4.860892713069916;497.0;180.25;95.86359104526022
1;4.893661737442017;500.0;195.0;112.0813758526956
0;4.955844461917877;492.5;223.25;92.86554113487917
1;4.988164663314819;488.0;235.0;92.07679193730176
0;5.051580369472504;465.25;243.0;89.31752014935155
1;5.084589719772339;441.0;241.0;90.615114085622
0;5.147282898426056;429.0;232.0;91.96049449730444
1;5.1779375076293945;420.0;223.0;90.7122242936947
0;5.240293383598328;412.0;194.0;90.46860559328314
1;5.271507740020752;411.0;179.0;90.09071953218627
0;5.330034554004669;420.25;153.25;87.88813764367049
1;5.360925674438477;421.0;151.0;89.75458276272903
0;5.422954618930817;438.25;139.25;92.3364613908957
1;5.454284429550171;448.0;136.0;92.90023925249231
0;5.563228785991669;461.25;136.0;91.59971542885839
1;5.5950329303741455;468.0;139.0;90.55347466970234
0;5.656921446323395;488.25;160.0;90.9761994999824
1;5.687932968139648;496.0;172.0;91.98456245712542
0;5.749848306179047;499.75;196.5;92.9100025726669
1;5.7807605266571045;499.0;208.0;93.09040656573727
0;5.841714441776276;488.25;224.0;90.30677738349297
1;5.873081207275391;479.0;231.0;89.52400880862285
0;5.935040712356567;455.75;235.0;91.0152229045403
1;5.966188669204712;452.0;235.0;91.20237971177967
0;6.0287668108940125;416.5;225.75;90.72848085587098
1;6.058844566345215;402.0;216.0;89.86622067984888
0;6.122155547142029;385.5;193.5;90.91103990616375
1;6.153133392333984;380.0;183.0;91.45490544547562
