;t;x;y;z
0;0.23914480209350586;439.0;178.5;85.31083610338078
1;0.2825438976287842;440.0;155.0;101.76192249710263
0;0.34308189153671265;450.25;132.75;97.13762851399397
1;0.36974620819091797;456.0;126.0;97.47556896184784
0;0.43071579933166504;461.75;122.25;93.85080637564596
1;0.4628429412841797;464.0;122.0;92.86234187712185
0;0.5255149602890015;465.75;123.0;90.8735827683156
1;0.5539107322692871;466.0;124.0;90.07339216277177
0;0.6169538497924805;465.75;124.75;88.74445612556897
1;0.6483592987060547;465.0;125.0;88.30651533892363
0;0.7118880152702332;462.75;124.25;86.12359939072107
1;0.742656946182251;461.0;124.0;85.39596074132022
0;0.8059170246124268;459.25;123.25;85.8139569655747
1;0.8386521339416504;459.0;123.0;85.8139569655747
0;0.8982003331184387;460.0;121.25;85.70242366423523
1;0.9291884899139404;461.0;121.0;86.62181243298022
0;0.9921239614486694;466.25;120.25;86.72395351033121
1;1.02370285987854;470.0;121.0;87.45230799710525
0;1.0870770812034607;483.5;129.25;86.59536897898778
1;1.1167323589324951;491.0;135.0;83.92916159660363
0;1.180245578289032;505.5;156.25;86.92062613755272
1;1.2121789455413818;511.0;169.0;88.37197775631746
0;1.2744758129119873;517.5;198.0;87.73484879901899
1;1.3052632808685303;519.0;214.0;88.10285524629792
0;1.3683355450630188;511.0;240.25;89.6932425228316
1;1.3992347717285156;506.0;251.0;88.8591837860098
0;1.4736141562461853;468.75;260.25;91.88244950313542
1;1.5414962768554688;409.0;253.0;93.66780841688971
0;1.599695861339569;390.75;226.0;91.34840656560824
1;1.6317775249481201;385.0;213.0;90.615114085622
0;1.6948464512825012;382.75;179.25;92.16932124624307
1;1.725740909576416;386.0;160.0;91.9293542196895
0;1.7883942127227783;393.5;145.75;97.0212659388724
1;1.818753719329834;401.0;137.0;99.01605205012507
0;1.8897458910942078;423.0;118.25;88.95211491995269
1;1.9216408729553223;434.0;114.0;85.10100994338941
0;1.9893283247947693;447.75;117.0;84.29512364322377
1;2.028878688812256;456.0;120.0;85.44788497325824
0;2.0934656858444214;482.25;147.5;86.99549532276652
1;2.132237672805786;484.0;151.0;87.48410477311583
0;2.195456087589264;494.25;179.0;88.06454332369317
1;2.2271835803985596;497.0;194.0;89.86622067984888
0;2.2885888814926147;495.5;220.25;90.2631433099617
1;2.3202826976776123;492.0;231.0;90.50952147707464
0;2.3814170956611633;474.5;243.0;90.4511970652472
1;2.412752628326416;463.0;245.0;90.70338352058435
0;2.4747567772865295;438.5;239.5;89.67316827648222
1;2.5056467056274414;427.0;235.0;93.24336235809038
0;2.568712055683136;410.25;209.25;90.015654858387
1;2.599050998687744;407.0;196.0;90.14276015710126
0;2.661503314971924;401.5;170.5;91.47811039568643
1;2.6924004554748535;404.0;156.0;91.91097298626548
0;2.753010630607605;415.25;138.25;92.57814253737548
1;2.783515453338623;423.0;128.0;84.77272373251894
0;2.8523266315460205;442.0;117.0;82.82722493686443
1;2.8865952491760254;452.0;117.0;85.02773637898179
0;2.9442660808563232;470.5;127.25;86.25752244853285
1;2.9706950187683105;479.0;135.0;86.66820736382623
0;3.033269464969635;490.75;158.5;86.71489029963062
1;3.064035415649414;495.0;173.0;88.37197775631746
0;3.1278574466705322;496.25;207.5;91.98585154995624
1;3.158068895339966;494.0;223.0;91.20237971177967
0;3.2206823229789734;466.5;248.0;90.00611171974258
1;3.252152442932129;443.0;251.0;87.64359709483591
0;3.314822554588318;428.5;242.75;89.1563690586216
1;3.346095323562622;414.0;237.0;89.90065254594911
0;3.4058133959770203;393.75;202.75;87.7554195924569
1;3.436427354812622;386.0;188.0;88.76775330234967
0;3.4992024898529053;384.0;158.5;92.39249919735316
1;3.5292654037475586;386.0;145.0;93.33933358069082
0;3.619707942008972;390.75;133.25;96.61543225118876
1;3.6557154655456543;397.0;124.0;96.84871231859117
0;3.7184616923332214;423.75;112.0;96.23564216840671
1;3.748384475708008;426.0;112.0;96.33875226993055
0;3.8114795684814453;452.75;115.5;91.58541504806321
1;3.841670513153076;464.0;120.0;95.32150121188214
0;3.904718041419983;484.75;137.75;93.77678850462453
1;3.9348928928375244;494.0;149.0;92.47648139683969
0;3.9969493746757507;507.5;174.75;90.74702869348675
1;4.028387784957886;512.0;188.0;91.50021474796485
0;4.091277897357941;509.75;214.0;100.92709004015566
1;4.121315240859985;505.0;226.0;104.79682930594035
0;4.18390965461731;483.0;238.25;89.86622067984888
1;4.21460747718811;471.0;241.0;89.86622067984888
0;4.27663379907608;438.25;236.0;89.8569065656423
1;4.3082051277160645;425.0;231.0;91.20237971177967
0;4.369344532489777;405.25;203.25;90.86628246342121
1;4.401498794555664;399.0;188.0;91.91097298626548
0;4.462533891201019;397.5;164.5;95.08667854015883
1;4.49363899230957;399.0;153.0;97.89275594660599
0;4.556131064891815;411.5;132.0;95.98405411843129
1;4.5868918895721436;418.0;125.0;98.43849119780349
0;4.649116396903992;438.75;116.75;96.34014636088708
1;4.680627346038818;450.0;116.0;94.81444848777485
0;4.74272221326828;468.75;124.75;93.08263469699993
1;4.774461507797241;478.0;133.0;93.90171774932101
0;4.837716698646545;489.75;154.0;91.2819380275391
1;4.8681135177612305;494.0;166.0;90.14276015710126
0;4.930984020233154;498.25;195.0;98.67681680994538
1;4.962671995162964;496.0;210.0;91.58193710357288
0;5.042809903621674;487.5;233.25;91.37211997235417
1;5.071439504623413;480.0;241.0;89.04287357832617
0;5.134709119796753;445.5;240.5;90.81231789262243
1;5.165574550628662;430.0;235.0;92.97616982091954
0;5.228934705257416;421.5;222.0;91.01367879859838
1;5.259307384490967;413.0;207.0;90.55347466970234
0;5.324041664600372;412.0;178.25;90.55411842232078
1;5.361927270889282;414.0;160.0;89.6262721454729
0;5.437079012393951;423.75;149.75;89.71004074934643
1;5.467939853668213;429.0;145.0;92.47648139683969
0;5.543604493141174;448.25;136.75;93.26572035565916
1;5.57645058631897;459.0;136.0;92.90023925249231
0;5.641937494277954;467.5;139.75;91.95162765755852
1;5.673962116241455;477.0;146.0;92.41107001734609
0;5.736420094966888;495.5;172.25;91.32641119513819
1;5.7693727016448975;500.0;184.0;91.58193710357288
0;5.848434507846832;498.5;207.5;92.4193673590881
1;5.887302875518799;496.0;217.0;90.01282299419914
0;5.948667109012604;478.5;230.25;89.89694854551409
1;5.97973370552063;467.0;235.0;89.69463769923574
0;6.054124712944031;448.5;235.5;91.99659541338039
1;6.094835042953491;438.0;237.0;93.99968512638935
0;6.153447329998016;402.25;215.0;89.84980258135548
1;6.182954549789429;392.0;203.0;90.14276015710126
0;6.245038270950317;380.0;182.75;91.69884994477803
1;6.275609731674194;377.0;171.0;92.86234187712185
0;6.338438510894775;373.75;150.25;92.91203587652079
1;6.368304491043091;373.0;141.0;93.90171774932101
0;6.430949091911316;373.75;127.75;94.44136835301786
1;6.462209463119507;373.0;126.0;94.93542182114344
0;6.52364856004715;375.0;118.5;94.5255434609706
1;6.554843425750732;374.0;118.0;92.90023925249231
0;6.616337299346924;373.0;122.0;93.3299793977971
1;6.646154165267944;372.0;125.0;91.98456245712542
0;6.708520829677582;370.0;135.25;92.1506549704931
1;6.7392425537109375;369.0;142.0;90.57987655108857
0;6.800587594509125;369.25;163.25;90.14276015710126
1;6.832186698913574;370.0;176.0;90.14276015710126
0;6.8946563601493835;368.0;203.0;89.21649062493546
1;6.92566180229187;367.0;215.0;89.65189137489793
0;6.989425778388977;363.75;233.5;90.194929895595
1;7.019308090209961;363.0;234.0;90.09071953218627
0;7.081801176071167;360.25;230.75;90.66314357926665
1;7.113557577133179;360.0;230.0;91.45490544547562
0;7.176509499549866;356.5;218.0;91.79695610106802
1;7.2083611488342285;353.0;206.0;91.91097298626548
0;7.274372220039368;348.25;192.0;93.12949852050487
1;7.318150758743286;346.0;184.0;92.39240587820969
0;7.40901792049408;336.75;156.25;91.73116695613669
1;7.456377029418945;332.0;144.0;92.43908690123433
0;7.537620306015015;324.75;123.25;95.00381326978659
1;7.571834564208984;321.0;115.0;95.52655299083888
0;7.633498966693878;318.25;105.0;95.14391741670055
1;7.668689489364624;318.0;103.0;94.93542182114344
0;7.742816686630249;318.25;102.75;93.51526094655327
1;7.781362056732178;319.0;105.0;93.54181655986113
0;7.863883376121521;323.0;115.75;91.74968529037392
1;7.893357992172241;326.0;123.0;91.20237971177967
0;7.966196656227112;332.5;145.0;89.156366186317
1;8.007134437561035;335.0;159.0;88.86750930420207
0;8.139742314815521;344.25;221.25;87.882908169964
1;8.183712482452393;344.0;224.0;87.88443715678848
0;8.258986115455627;332.75;224.25;89.64771174838664
1;8.29289698600769;326.0;223.0;90.55347466970234
0;8.352464854717255;316.75;217.5;93.36888027984676
1;8.38343620300293;312.0;213.0;95.3419485125298
0;8.44657039642334;306.0;201.75;95.41539252082787
1;8.481525659561157;304.0;195.0;94.93542182114344
0;8.553890585899353;304.25;167.25;94.57138833492542
1;8.585427284240723;305.0;163.0;95.52655299083888
0;8.656343877315521;306.5;163.25;94.11745888196438
1;8.695410966873169;308.0;168.0;93.54181655986113
0;8.75996607542038;309.5;173.75;93.57911478962679
1;8.78946566581726;310.0;182.0;94.59382946717146
0;8.852459073066711;311.75;206.25;94.0701088896983
1;8.881716966629028;312.0;213.0;94.59382946717146
0;8.944789171218872;308.75;233.5;95.53586426529164
1;8.974498510360718;308.0;235.0;93.36818129590087
0;9.037863671779633;304.75;239.25;95.3189489034724
1;9.069427490234375;302.0;239.0;95.31128236711996
0;9.13031530380249;295.0;235.25;97.0257839793426
1;9.161781072616577;291.0;233.0;97.98125166945637
0;9.225871503353119;280.75;228.5;99.92260468974752
1;9.260324478149414;275.0;225.0;99.75504321366395
0;9.319666028022766;258.75;214.0;100.59535370653282
1;9.350239992141724;242.0;200.0;101.92314095903883
0;9.41189295053482;232.75;190.25;104.72082276159675
1;9.443758964538574;230.0;186.0;106.48041761797482
0;9.508667409420013;227.5;179.25;107.43191291614377
1;9.539000034332275;228.0;176.0;108.21595869513354
0;9.598573386669159;232.5;171.0;106.60255710187343
1;9.631008386611938;237.0;170.0;105.68405366177355
0;9.69078642129898;246.75;173.75;102.60580633534303
1;9.720656633377075;252.0;176.0;100.95477463845735
0;9.798077642917633;260.75;186.0;97.93670546322457
1;9.831150770187378;265.0;192.0;96.62463595583746
0;9.89297866821289;269.75;206.75;96.07559447333817
1;9.924195766448975;271.0;214.0;96.62463595583746
0;9.989192605018616;270.75;231.75;100.93924808477554
1;10.020275592803955;269.0;240.0;99.24526532928526
0;10.084177553653717;261.75;252.5;100.79818057779019
1;10.118324279785156;257.0;257.0;102.72786124537551
0;10.188001096248627;245.0;257.5;104.14047621719601
1;10.25074815750122;240.0;256.0;104.36796600150919
0;10.303103566169739;231.25;246.0;106.70840699493198
1;10.334272384643555;228.0;240.0;105.68405366177355
0;10.397302806377411;222.25;223.5;106.26760438133266
1;10.429797649383545;221.0;214.0;107.6282924720741
0;10.49264371395111;220.25;191.75;106.85117058581193
1;10.522405862808228;221.0;180.0;107.04985810598478
0;10.58632117509842;224.75;156.5;108.62728030970189
1;10.617931365966797;227.0;145.0;107.6282924720741
0;10.680038750171661;229.25;123.0;107.43003846914922
1;10.71349024772644;231.0;115.0;106.83527646037464
