;t;x;y;z
0;0.12852758169174194;440.5;181.25;75.74709682309005
1;0.16142630577087402;435.0;166.0;100.61795759100222
0;0.22230303287506104;445.75;141.0;97.52890091029026
1;0.25281500816345215;451.0;132.0;97.39928409919453
0;0.3137969970703125;459.0;123.25;95.77509636602271
1;0.34499692916870117;462.0;122.0;94.32510969882516
0;0.40824711322784424;465.0;122.0;92.7534038982996
1;0.43854355812072754;466.0;123.0;91.4458514523024
0;0.5006649494171143;466.0;124.75;90.41535583109021
1;0.5320351123809814;466.0;125.0;90.98754372909411
0;0.5956774353981018;464.0;124.75;89.20572358144648
1;0.6265878677368164;463.0;124.0;87.04983785476944
0;0.6911584138870239;460.0;123.75;86.04046413425723
1;0.7244126796722412;459.0;123.0;86.23799052125689
0;0.7830097079277039;459.25;122.0;86.72881878842752
1;0.8150577545166016;460.0;121.0;86.62181243298022
0;0.877787172794342;463.25;120.25;87.3670544098608
1;0.9087963104248047;466.0;120.0;87.48410477311583
0;0.9795106649398804;476.75;124.5;88.33561975795908
1;1.0366618633270264;483.0;129.0;87.48410477311583
0;1.0969744324684143;498.5;144.5;85.68609686356217
1;1.1280014514923096;505.0;155.0;86.66820736382623
0;1.1908950209617615;514.75;183.5;89.60399123139621
1;1.22161865234375;518.0;197.0;87.99749314718926
0;1.2842194437980652;516.25;227.75;88.81862040604207
1;1.3152787685394287;512.0;241.0;90.19488874834687
0;1.376847743988037;495.75;258.25;91.0710403132207
1;1.4080426692962646;486.0;264.0;92.00298675012459
0;1.5162591934204102;399.25;240.0;93.0250704590904
1;1.5468132495880127;390.0;226.0;91.20237971177967
0;1.6100324392318726;382.25;197.75;92.34325124793332
1;1.6413767337799072;382.0;179.0;95.3419485125298
0;1.703081488609314;387.75;154.0;96.16963654817431
1;1.7345919609069824;393.0;145.0;95.81580360129223
0;1.795932412147522;412.75;127.25;95.91688945131878
1;1.8279166221618652;423.0;118.0;91.91097298626548
0;1.8894231915473938;442.25;115.25;89.22653089946728
1;1.9199638366699219;445.0;115.0;87.92476554086731
0;1.9833219647407532;473.0;137.0;89.52937629807322
1;2.0142343044281006;484.0;151.0;89.2192532110577
0;2.075590133666992;489.75;164.5;87.58341592928687
1;2.1065566539764404;495.0;180.0;88.91751033982548
0;2.1945600509643555;497.5;207.75;90.12407021442968
1;2.230341672897339;496.0;221.0;90.50952147707464
0;2.2935014963150024;484.75;237.5;89.83548080567262
1;2.324033737182617;475.0;243.0;91.52743184411811
0;2.386652946472168;450.75;243.5;90.5186482236627
1;2.417858600616455;438.0;239.0;88.61873113717535
0;2.4789440631866455;416.25;224.25;92.03506273922278
1;2.5102288722991943;408.0;209.0;89.75458276272903
0;2.572080433368683;403.0;183.5;92.1831186018173
1;2.602689027786255;400.0;172.0;93.823558370904
0;2.665547490119934;409.75;147.0;92.79404540131014
1;2.6973509788513184;414.0;140.0;96.33875226993055
0;2.758662700653076;432.25;120.5;88.87739998470292
1;2.79006028175354;442.0;115.0;89.65189137489793
0;2.8519247174263;461.25;121.0;87.46773185663676
