;x;y;z;t
0;;;;0.0
1;445.0;199.0;0.0;0.08328413963317871
2;441.0;180.0;101.18521485067899;0.1290748119354248
3;435.0;166.0;100.61795759100222;0.16169476509094238
4;441.0;152.0;97.37752045694572;0.19268155097961426
5;444.0;140.0;96.32821141469448;0.2229630947113037
6;450.0;132.0;96.33875226993055;0.2545914649963379
7;455.0;126.0;96.97743986758692;0.2843625545501709
8;459.0;123.0;94.85472285215735;0.3177151679992676
9;462.0;122.0;93.8430803866523;0.3470728397369385
10;464.0;122.0;92.86234187712185;0.3786900043487549
11;465.0;122.0;91.4458514523024;0.4094431400299072
12;466.0;123.0;90.98754372909411;0.44261813163757324
13;466.0;124.0;90.07339216277177;0.4726834297180176
14;466.0;125.0;88.74286540379815;0.503009557723999
15;466.0;125.0;88.74286540379815;0.5328342914581299
16;465.0;125.0;88.30651533892363;0.5722959041595459
17;464.0;125.0;87.45230799710525;0.6017587184906006
18;463.0;124.0;85.39596074132022;0.62662672996521
19;461.0;124.0;85.39596074132022;0.6608564853668213
20;460.0;124.0;85.8139569655747;0.6905336380004883
21;459.0;123.0;85.8139569655747;0.7219328880310059
22;459.0;123.0;85.8139569655747;0.7544858455657959
23;459.0;122.0;85.39596074132022;0.7852442264556885
24;460.0;121.0;85.39596074132022;0.8156273365020752
25;461.0;121.0;86.62181243298022;0.8465330600738525
26;463.0;120.0;86.19988117825913;0.8775336742401123
27;466.0;120.0;86.62181243298022;0.9100503921508789
28;470.0;121.0;87.45230799710525;0.9391200542449951
29;477.0;124.0;87.48410477311583;0.9709506034851074
30;483.0;129.0;87.48410477311583;1.0016522407531738
31;491.0;135.0;83.92916159660363;1.034362554550171
32;499.0;144.0;85.10100994338941;1.064558744430542
33;506.0;156.0;87.92476554086731;1.0965361595153809
34;511.0;169.0;88.37197775631746;1.1276750564575195
35;515.0;184.0;88.45400559509147;1.1581730842590332
36;518.0;197.0;86.74569391822736;1.1903080940246582
37;519.0;214.0;88.10285524629792;1.219801425933838
38;516.0;228.0;89.52400880862285;1.2514448165893555
39;511.0;241.0;90.19488874834687;1.2833003997802734
40;506.0;251.0;88.8591837860098;1.3153679370880127
41;496.0;260.0;90.9340654768274;1.3464772701263428
42;485.0;264.0;91.46396205941228;1.3777267932891846
43;409.0;254.0;95.09742361959732;1.457101583480835
44;399.0;240.0;92.90023925249231;1.4855504035949707
45;390.0;226.0;91.20237971177967;1.5165727138519287
46;385.0;214.0;91.09477659836676;1.5480921268463135
47;381.0;199.0;91.02324701103906;1.580698013305664
48;382.0;180.0;93.33933358069082;1.6107676029205322
49;386.0;160.0;91.9293542196895;1.6399784088134766
50;386.0;156.0;96.39150716550341;1.6717140674591064
51;394.0;145.0;96.33875226993055;1.7026042938232422
52;400.0;137.0;99.01605205012507;1.7330167293548584
53;412.0;125.0;91.45490544547562;1.7644882202148438
54;423.0;117.0;89.6262721454729;1.7963697910308838
55;434.0;114.0;85.10100994338941;1.8264915943145752
56;445.0;116.0;84.34786034739008;1.857041835784912
57;445.0;116.0;83.31579982812373;1.888329267501831
58;456.0;120.0;85.87416020364364;1.9196445941925049
59;477.0;139.0;85.52966697171856;1.9515516757965088
60;484.0;150.0;87.48410477311583;1.9828100204467773
61;484.0;151.0;87.48410477311583;2.0124964714050293
62;490.0;164.0;87.104758425252;2.043208122253418
63;495.0;179.0;87.64359709483591;2.074533462524414
64;497.0;194.0;89.86622067984888;2.105484962463379
65;498.0;209.0;90.01282299419914;2.136471748352051
66;496.0;221.0;90.50952147707464;2.2123446464538574
67;492.0;231.0;90.50952147707464;2.2471041679382324
68;485.0;239.0;89.69463769923574;2.2767112255096436
69;475.0;244.0;90.70338352058435;2.3079798221588135
70;463.0;245.0;90.70338352058435;2.338557720184326
71;451.0;245.0;90.70338352058435;2.3704402446746826
72;438.0;239.0;87.37296361362706;2.403303623199463
73;427.0;236.0;93.774805218883;2.4346699714660645
74;416.0;225.0;91.34643013886443;2.4649038314819336
75;409.0;208.0;89.28671456879115;2.4977126121520996
76;407.0;196.0;90.14276015710126;2.526578903198242
77;402.0;184.0;90.14276015710126;2.557527542114258
78;400.0;171.0;91.9293542196895;2.588210344314575
79;404.0;156.0;91.91097298626548;2.619875907897949
80;410.0;145.0;91.91097298626548;2.6500279903411865
81;414.0;140.0;96.33875226993055;2.682917356491089
82;423.0;128.0;84.77272373251894;2.7130088806152344
83;432.0;119.0;87.88443715678848;2.742927312850952
84;442.0;116.0;79.41442768568533;2.774824857711792
85;452.0;117.0;85.02773637898179;2.805684804916382
86;461.0;119.0;83.85176900757749;2.8362274169921875
87;471.0;127.0;87.04983785476944;2.868807077407837
88;479.0;135.0;86.66820736382623;2.8996376991271973
89;485.0;145.0;85.87416020364364;2.930973529815674
90;491.0;159.0;86.74569391822736;2.9613547325134277
91;495.0;173.0;88.37197775631746;2.9926064014434814
92;497.0;191.0;91.58193710357288;3.022672176361084
93;497.0;208.0;93.4838333106787;3.0545358657836914
94;494.0;223.0;91.20237971177967;3.0843024253845215
95;489.0;237.0;91.70035804803508;3.1171071529388428
96;467.0;252.0;89.90065254594911;3.1474390029907227
97;443.0;251.0;87.64359709483591;3.1769256591796875
98;440.0;248.0;86.69917770013899;3.20924711227417
99;430.0;243.0;90.01282299419914;3.244473934173584
100;414.0;236.0;89.39665798625356;3.2717483043670654
101;403.0;219.0;88.91751033982548;3.3029396533966064
102;393.0;202.0;86.66820736382623;3.3345742225646973
103;385.0;188.0;88.76775330234967;3.366215229034424
104;382.0;173.0;90.98754372909411;3.396921396255493
