;t;x;y;z
1;15.68936586;318.0;103.0;94.93542182
0;15.8084928375;318.25;102.75;93.5152609475
1;15.86470866;319.0;105.0;93.54181656
0;16.025670587500002;323.0;115.75;91.74968529
1;16.08668137;326.0;123.0;91.20237971
0;16.2072052975;332.5;145.0;89.156366185
1;16.27207756;335.0;159.0;88.8675093
0;16.527817785;344.25;221.25;87.8829081725
1;16.59777284;344.0;224.0;87.88443716
0;16.751456082500003;332.75;224.25;89.6477117475
1;16.81776023;326.0;223.0;90.55347467
0;16.951254965;316.75;217.5;93.36888028
1;17.02124906;312.0;213.0;95.34194851
0;17.176692725;306.0;201.75;95.4153925225
1;17.25127769;304.0;195.0;94.93542182
0;17.3877235675;304.25;167.25;94.571388335
1;17.47468686;305.0;163.0;95.52655299
0;17.6119180925;306.5;163.25;94.11745888249999
1;17.68391848;308.0;168.0;93.54181656
0;17.79933375;309.5;173.75;93.5791147925
1;17.86156654;310.0;182.0;94.59382947
0;17.996451735;311.75;206.25;94.0701088925
1;18.06519198;312.0;213.0;94.59382947
0;18.21097529;308.75;233.5;95.5358642675
1;18.29241872;308.0;235.0;93.3681813
0;18.4472334375;304.75;239.25;95.318948905
1;18.52136183;302.0;239.0;95.31128237
0;18.6539852025;295.0;235.25;97.02578398
1;18.73070478;291.0;233.0;97.98125167
0;18.8771863575;280.75;228.5;99.92260469
1;18.95608258;275.0;225.0;99.75504321
0;19.0897002225;258.75;214.0;100.59535371
1;19.13448143;242.0;200.0;101.923141
0;19.25334233;232.75;190.25;104.720822775
1;19.33515906;230.0;186.0;106.4804176
0;19.5031819325;227.5;179.25;107.431912925
1;19.58572578;228.0;176.0;108.2159587
0;19.740027247500002;232.5;171.0;106.6025571
1;19.81041908;237.0;170.0;105.6840537
0;19.9450289025;246.75;173.75;102.60580635000001
1;19.99818945;252.0;176.0;100.9547746
0;20.1332941625;260.75;186.0;97.93670546250002
1;20.21581626;265.0;192.0;96.62463596
0;20.337840794999998;269.75;206.75;96.075594475
1;20.39794087;271.0;214.0;96.62463596
0;20.5237544775;270.75;231.75;100.9392480825
1;20.5800395;269.0;240.0;99.24526533
0;20.7082107075;261.75;252.5;100.798180555
1;20.76948452;257.0;257.0;102.7278612
0;20.84934527;245.0;257.5;104.14047625
1;20.8889761;240.0;256.0;104.367966
0;21.0045835375;231.25;246.0;106.708407
1;21.06550622;228.0;240.0;105.6840537
0;21.1314490425;222.25;223.5;106.267604375
1;21.16917777;221.0;214.0;107.6282925
0;21.2641381;220.25;191.75;106.851170575
1;21.31230664;221.0;180.0;107.0498581
0;21.433596907500004;224.75;156.5;108.627280325
1;21.49597526;227.0;145.0;107.6282925
0;21.611147045;229.25;123.0;107.43003850000001
1;21.67512918;231.0;115.0;106.8352765
0;21.7667151125;230.0;98.5;108.72196155
1;21.81952167;230.0;91.0;108.0239396
0;21.945267795;229.0;80.5;108.9839284
