;t;x;y;z
0;0.16528946161270142;439.0;178.5;85.31083610338078
1;0.19590497016906738;440.0;155.0;101.76192249710263
0;0.261283814907074;450.25;132.75;97.13762851399397
1;0.29389047622680664;456.0;126.0;97.47556896184784
0;0.35344499349594116;461.75;122.25;93.85080637564596
1;0.38695573806762695;464.0;122.0;92.86234187712185
0;0.44991713762283325;465.75;123.0;90.8735827683156
1;0.4786820411682129;466.0;124.0;90.07339216277177
0;0.5401743054389954;465.75;124.75;88.74445612556897
1;0.5720183849334717;465.0;125.0;88.30651533892363
0;0.6348416805267334;462.75;124.25;86.12359939072107
1;0.6650071144104004;461.0;124.0;85.39596074132022
0;0.7280222773551941;459.25;123.25;85.8139569655747
1;0.7607526779174805;459.0;123.0;85.8139569655747
0;0.8215150833129883;460.0;121.25;85.70242366423523
1;0.8532023429870605;461.0;121.0;86.62181243298022
0;0.9176796674728394;466.25;120.25;86.72395351033121
1;0.9530012607574463;470.0;121.0;87.45230799710525
0;1.0153403878211975;483.5;129.25;86.59536897898778
1;1.0463659763336182;491.0;135.0;83.92916159660363
0;1.105093002319336;505.5;156.25;86.92062613755272
1;1.1322526931762695;511.0;169.0;88.37197775631746
0;1.195838212966919;517.5;198.0;87.73484879901899
1;1.2288520336151123;519.0;214.0;88.10285524629792
0;1.2891851663589478;511.0;240.25;89.6932425228316
1;1.3200187683105469;506.0;251.0;88.8591837860098
0;1.3961148262023926;468.75;260.25;91.88244950313542
1;1.4627714157104492;409.0;253.0;93.66780841688971
0;1.5244239568710327;390.75;226.0;91.34840656560824
1;1.5566813945770264;385.0;213.0;90.615114085622
0;1.6216699481010437;382.75;179.25;92.16932124624307
1;1.6517603397369385;386.0;160.0;91.9293542196895
0;1.713606834411621;393.5;145.75;97.0212659388724
1;1.7449171543121338;401.0;137.0;99.01605205012507
0;1.8071512579917908;423.0;118.25;88.95211491995269
1;1.8389618396759033;434.0;114.0;85.10100994338941
0;1.9009316563606262;447.75;117.0;84.29512364322377
1;1.9308669567108154;456.0;120.0;85.44788497325824
0;1.9932273626327515;482.25;147.5;86.99549532276652
1;2.0240871906280518;484.0;151.0;87.48410477311583
0;2.0878705382347107;494.25;179.0;88.06454332369317
1;2.1189615726470947;497.0;194.0;89.86622067984888
0;2.1802713871002197;495.5;220.25;90.2631433099617
1;2.2107088565826416;492.0;231.0;90.50952147707464
0;2.273030459880829;474.5;243.0;90.4511970652472
1;2.3028171062469482;463.0;245.0;90.70338352058435
0;2.365444242954254;438.5;239.5;89.67316827648222
1;2.3971686363220215;427.0;235.0;93.24336235809038
0;2.460065007209778;410.25;209.25;90.015654858387
1;2.4910550117492676;407.0;196.0;90.14276015710126
0;2.554258346557617;401.5;170.5;91.47811039568643
1;2.5859546661376953;404.0;156.0;91.91097298626548
0;2.6487441658973694;415.25;138.25;92.57814253737548
1;2.679077386856079;423.0;128.0;84.77272373251894
0;2.741541564464569;442.0;117.0;82.82722493686443
1;2.772646188735962;452.0;117.0;85.02773637898179
0;2.8343743681907654;470.5;127.25;86.25752244853285
1;2.8667030334472656;479.0;135.0;86.66820736382623
0;2.9289865493774414;490.75;158.5;86.71489029963062
1;2.9589784145355225;495.0;173.0;88.37197775631746
0;3.0205360651016235;496.25;207.5;91.98585154995624
1;3.0522029399871826;494.0;223.0;91.20237971177967
0;3.11367130279541;466.5;248.0;90.00611171974258
