;x;y;z;t
0;;;;0.0
1;445.0;199.0;0.0;0.08224916458129883
2;441.0;180.0;101.18521485067899;0.12206816673278809
3;435.0;166.0;100.61795759100222;0.1540837287902832
4;441.0;152.0;97.37752045694572;0.18499159812927246
5;444.0;140.0;96.32821141469448;0.21593189239501953
6;450.0;132.0;96.33875226993055;0.24822568893432617
7;455.0;126.0;96.97743986758692;0.2795288562774658
8;459.0;123.0;94.85472285215735;0.3092670440673828
9;462.0;122.0;93.8430803866523;0.3422565460205078
10;464.0;122.0;92.86234187712185;0.3719465732574463
11;465.0;122.0;91.4458514523024;0.40282249450683594
12;466.0;123.0;90.98754372909411;0.43477320671081543
13;466.0;124.0;90.07339216277177;0.4662339687347412
14;466.0;125.0;88.74286540379815;0.4978444576263428
15;466.0;125.0;88.74286540379815;0.5294528007507324
16;465.0;125.0;88.30651533892363;0.5613048076629639
17;464.0;125.0;87.45230799710525;0.5917446613311768
18;463.0;124.0;85.39596074132022;0.622300386428833
19;461.0;124.0;85.39596074132022;0.6536910533905029
20;460.0;124.0;85.8139569655747;0.6850528717041016
21;459.0;123.0;85.8139569655747;0.7165896892547607
22;459.0;123.0;85.8139569655747;0.7476239204406738
23;459.0;122.0;85.39596074132022;0.7785308361053467
24;460.0;121.0;85.39596074132022;0.8112976551055908
25;461.0;121.0;86.62181243298022;0.8412091732025146
26;463.0;120.0;86.19988117825913;0.8720595836639404
27;466.0;120.0;86.62181243298022;0.9029083251953125
28;470.0;121.0;87.45230799710525;0.934002161026001
29;477.0;124.0;87.48410477311583;0.9650697708129883
30;483.0;129.0;87.48410477311583;0.9971346855163574
31;491.0;135.0;83.92916159660363;1.028585433959961
32;499.0;144.0;85.10100994338941;1.0638790130615234
33;506.0;156.0;87.92476554086731;1.0916643142700195
34;511.0;169.0;88.37197775631746;1.1223204135894775
35;515.0;184.0;88.45400559509147;1.1535577774047852
36;518.0;197.0;86.74569391822736;1.1840238571166992
37;519.0;214.0;88.10285524629792;1.2144932746887207
38;516.0;228.0;89.52400880862285;1.2454655170440674
39;511.0;241.0;90.19488874834687;1.2761178016662598
40;506.0;251.0;88.8591837860098;1.3069486618041992
41;496.0;260.0;90.9340654768274;1.3391633033752441
42;485.0;264.0;91.46396205941228;1.3772673606872559
43;409.0;254.0;95.09742361959732;1.4501218795776367
44;399.0;240.0;92.90023925249231;1.4775264263153076
45;390.0;226.0;91.20237971177967;1.5099332332611084
46;385.0;214.0;91.09477659836676;1.5411899089813232
47;381.0;199.0;91.02324701103906;1.574234962463379
48;382.0;180.0;93.33933358069082;1.6040101051330566
49;386.0;160.0;91.9293542196895;1.6349835395812988
50;386.0;156.0;96.39150716550341;1.6665763854980469
51;394.0;145.0;96.33875226993055;1.6958386898040771
52;400.0;137.0;99.01605205012507;1.7277939319610596
53;412.0;125.0;91.45490544547562;1.7593910694122314
54;423.0;117.0;89.6262721454729;1.790511131286621
55;434.0;114.0;85.10100994338941;1.8223214149475098
56;445.0;116.0;84.34786034739008;1.8522841930389404
57;445.0;116.0;83.31579982812373;1.8838891983032227
58;456.0;120.0;85.87416020364364;1.9148952960968018
59;477.0;139.0;85.52966697171856;1.9458959102630615
60;484.0;150.0;87.48410477311583;1.9780633449554443
61;484.0;151.0;87.48410477311583;2.0126707553863525
62;490.0;164.0;87.104758425252;2.0408620834350586
63;495.0;179.0;87.64359709483591;2.071263313293457
64;497.0;194.0;89.86622067984888;2.1015353202819824
65;498.0;209.0;90.01282299419914;2.132490396499634
66;496.0;221.0;90.50952147707464;2.169100284576416
67;492.0;231.0;90.50952147707464;2.1952593326568604
68;485.0;239.0;89.69463769923574;2.227293014526367
69;475.0;244.0;90.70338352058435;2.258880853652954
70;463.0;245.0;90.70338352058435;2.292614698410034
71;451.0;245.0;90.70338352058435;2.3222124576568604
72;438.0;239.0;87.37296361362706;2.351879835128784
73;427.0;236.0;93.774805218883;2.3835361003875732
74;416.0;225.0;91.34643013886443;2.4136593341827393
75;409.0;208.0;89.28671456879115;2.4452264308929443
76;407.0;196.0;90.14276015710126;2.4751594066619873
77;402.0;184.0;90.14276015710126;2.5078699588775635
78;400.0;171.0;91.9293542196895;2.5381317138671875
79;404.0;156.0;91.91097298626548;2.5696544647216797
80;410.0;145.0;91.91097298626548;2.6013221740722656
81;414.0;140.0;96.33875226993055;2.6350443363189697
82;423.0;128.0;84.77272373251894;2.66363787651062
83;432.0;119.0;87.88443715678848;2.696308135986328
84;442.0;116.0;79.41442768568533;2.7305476665496826
85;452.0;117.0;85.02773637898179;2.758572578430176
86;461.0;119.0;83.85176900757749;2.788755178451538
87;471.0;127.0;87.04983785476944;2.819214105606079
88;479.0;135.0;86.66820736382623;2.8507983684539795
89;485.0;145.0;85.87416020364364;2.882394552230835
90;491.0;159.0;86.74569391822736;2.9156055450439453
91;495.0;173.0;88.37197775631746;2.945185899734497
92;497.0;191.0;91.58193710357288;2.977513313293457
93;497.0;208.0;93.4838333106787;3.0086171627044678
94;494.0;223.0;91.20237971177967;3.0400145053863525
95;489.0;237.0;91.70035804803508;3.0715749263763428
96;467.0;252.0;89.90065254594911;3.1036248207092285
97;443.0;251.0;87.64359709483591;3.133617877960205
98;440.0;248.0;86.69917770013899;3.1647067070007324
99;430.0;243.0;90.01282299419914;3.194445848464966
100;414.0;236.0;89.39665798625356;3.226166009902954
101;403.0;219.0;88.91751033982548;3.2589099407196045
102;393.0;202.0;86.66820736382623;3.2890610694885254
103;385.0;188.0;88.76775330234967;3.3204054832458496
104;382.0;173.0;90.98754372909411;3.3675849437713623
105;384.0;158.0;92.39240587820969;3.3976545333862305
106;386.0;145.0;94.32510969882516;3.4308409690856934
107;386.0;142.0;94.32510969882516;3.4625797271728516
108;390.0;133.0;97.39928409919453;3.4938042163848877
109;397.0;124.0;96.84871231859117;3.5248148441314697
110;415.0;114.0;97.98125166945637;3.5584261417388916
111;427.0;111.0;95.31128236711996;3.590744733810425
112;426.0;112.0;96.33875226993055;3.6181585788726807
113;441.0;112.0;95.31128236711996;3.650794267654419
114;453.0;115.0;89.38818674813754;3.6813249588012695
115;464.0;120.0;95.32150121188214;3.7149083614349365
