;x;y;z;t
0;;;;0.0
1;259.0;383.0;0.0;2.627530813217163
2;271.0;369.0;88.81344695549865;2.66969895362854
3;284.0;357.0;87.47294080629294;2.705507755279541
4;292.0;346.0;87.47294080629294;2.748337984085083
5;300.0;324.0;83.69708123438606;2.7776269912719727
6;322.0;269.0;63.88113057987117;2.8105030059814453
7;331.0;249.0;60.07792463034753;2.841001272201538
8;331.0;248.0;59.4902032842518;2.8725314140319824
9;338.0;236.0;56.204919513258;2.9020562171936035
10;344.0;224.0;51.93872634413312;2.9334299564361572
11;352.0;212.0;49.85198729579787;2.964459180831909
12;359.0;201.0;46.85897790135249;2.9962730407714844
13;367.0;189.0;44.223523875484645;3.027073621749878
14;374.0;178.0;41.610080170974754;3.059189796447754
15;379.0;166.0;39.792945669573086;3.0892333984375
16;380.0;152.0;37.0400154786358;3.1218550205230713
17;382.0;138.0;35.612638565309204;3.1519086360931396
18;388.0;119.0;32.10888111268803;3.1855294704437256
19;389.0;101.0;31.195556198907955;3.2153027057647705
20;390.0;90.0;30.197257342541402;3.2474257946014404
21;391.0;90.0;30.475501789644092;3.276987075805664
22;393.0;82.0;29.524675271121904;3.309236526489258
23;395.0;76.0;28.883134603746587;3.339376449584961
24;399.0;72.0;28.390808076470258;3.3691699504852295
25;402.0;68.0;28.033092799494252;3.402276039123535
26;405.0;66.0;27.68481693923181;3.432417154312134
27;406.0;63.0;27.570757120697316;3.466231107711792
28;407.0;61.0;27.23448626216969;3.4940006732940674
29;408.0;59.0;27.015100687764562;3.526855230331421
30;409.0;60.0;26.906808935644396;3.562411069869995
31;407.0;59.0;26.58739379454192;3.6042351722717285
32;406.0;60.0;26.58739379454192;3.6420388221740723
33;404.0;61.0;26.275926463052375;3.680211305618286
34;404.0;61.0;25.972108457669233;3.7139570713043213
35;403.0;63.0;25.972108457669233;3.7447497844696045
36;403.0;65.0;26.07254900251167;3.7753636837005615
37;401.0;66.0;26.07254900251167;3.8083226680755615
38;400.0;67.0;26.07254900251167;3.836446523666382
39;400.0;70.0;25.972108457669233;3.8701462745666504
40;402.0;73.0;26.07254900251167;3.8996946811676025
41;404.0;77.0;25.87248621322273;3.9296958446502686
42;402.0;81.0;25.291380217806324;3.9629733562469482
43;400.0;81.0;25.19721105799295;3.9937355518341064
44;398.0;83.0;24.91911790737868;4.031938314437866
45;395.0;83.0;24.737313906927497;4.074563026428223
46;394.0;85.0;24.647463911348954;4.1075334548950195
47;394.0;85.0;24.737313906927497;4.14989709854126
48;392.0;85.0;24.647463911348954;4.181886196136475
49;392.0;87.0;24.558304264830063;4.212052345275879
50;392.0;87.0;24.647463911348954;4.2430479526519775
51;391.0;87.0;24.647463911348954;4.275220632553101
52;390.0;87.0;24.558304264830063;4.304529666900635
53;389.0;87.0;24.558304264830063;4.337203741073608
54;389.0;88.0;24.558304264830063;4.3676064014434814
55;388.0;88.0;24.558304264830063;4.399194955825806
56;389.0;89.0;24.38202383259226;4.429795742034912
57;389.0;89.0;24.737313906927497;4.460387706756592
58;389.0;89.0;24.91911790737868;4.506881952285767
59;388.0;89.0;24.91911790737868;4.546499729156494
60;388.0;89.0;25.011088725710618;4.588311433792114
61;388.0;89.0;25.103783525437105;4.616978168487549
62;387.0;89.0;25.011088725710618;4.649545669555664
63;386.0;90.0;24.91911790737868;4.679553270339966
64;386.0;91.0;25.291380217806324;4.710348129272461
65;384.0;91.0;25.19721105799295;4.741997718811035
66;383.0;95.0;25.291380217806324;4.775543928146362
67;383.0;95.0;25.386300045248237;4.80416464805603
68;383.0;96.0;25.578428612430205;4.839892625808716
69;383.0;98.0;25.972108457669233;4.869610548019409
70;385.0;99.0;26.07254900251167;4.899470329284668
71;387.0;101.0;26.07254900251167;4.93837571144104
72;387.0;102.0;26.07254900251167;4.979274749755859
73;386.0;101.0;26.275926463052375;5.012524366378784
74;386.0;102.0;26.275926463052375;5.04315710067749
75;385.0;102.0;26.482703317777688;5.074464797973633
76;382.0;102.0;26.482703317777688;5.105764150619507
77;381.0;102.0;26.482703317777688;5.144622087478638
78;378.0;100.0;26.692967230549115;5.1763014793396
79;377.0;100.0;26.906808935644396;5.2069785594940186
80;377.0;101.0;26.906808935644396;5.242042779922485
81;375.0;101.0;26.906808935644396;5.284183025360107
82;374.0;102.0;27.124322374174703;5.314817905426025
83;373.0;104.0;27.457690811147646;5.346032619476318
84;372.0;105.0;27.570757120697316;5.377273082733154
85;371.0;106.0;27.68481693923181;5.409679889678955
86;370.0;107.0;27.799883678831367;5.441889762878418
87;370.0;107.0;28.033092799494252;5.471946477890015
88;369.0;109.0;28.27049677927205;5.503929853439331
89;369.0;110.0;28.51221211251993;5.533520460128784
90;370.0;112.0;29.136167359853708;5.565419912338257
91;369.0;113.0;29.136167359853708;5.59602165222168
92;369.0;114.0;29.65663626204538;5.626760959625244
93;369.0;115.0;29.92435390004253;5.658535718917847
94;369.0;115.0;29.92435390004253;5.695769548416138
95;368.0;116.0;30.060147840097894;5.726419687271118
96;369.0;117.0;30.335701997460365;5.756858825683594
97;368.0;118.0;30.616677108632903;5.801158428192139
98;368.0;120.0;30.903237971416196;5.833594083786011
99;368.0;119.0;30.903237971416196;5.866525411605835
100;368.0;120.0;31.048666412892597;5.899388790130615
101;368.0;121.0;31.343929904738715;5.928028583526611
102;369.0;123.0;31.798187448519663;5.975497245788574
103;368.0;125.0;32.2666597437227;6.006779909133911
104;370.0;126.0;32.42609426354933;6.0387656688690186
105;369.0;128.0;33.08093455630267;6.074782609939575
106;369.0;129.0;32.9146033265629;6.118921279907227
107;369.0;130.0;33.590821203244985;6.150074481964111
108;369.0;132.0;33.76451602130808;6.180893182754517
109;369.0;133.0;34.29724470394942;6.210323095321655
110;370.0;134.0;34.47881355073739;6.244348764419556
111;371.0;135.0;35.035987035526944;6.271967172622681
112;370.0;136.0;35.22598914829089;6.304337978363037
113;371.0;137.0;35.612638565309204;6.3372483253479
114;371.0;138.0;36.619926100537846;6.369555234909058
115;371.0;138.0;36.828698617723056;6.399839639663696
116;370.0;138.0;37.25392440871044;6.430638313293457
117;369.0;139.0;37.47047434625783;6.462993383407593
118;368.0;139.0;37.911699296934835;6.495051145553589
119;366.0;138.0;38.36410761537418;6.527076482772827
120;364.0;138.0;38.59464193297405;6.556533575057983
121;362.0;139.0;38.59464193297405;6.588885068893433
122;360.0;139.0;39.06465638608316;6.619683027267456
123;358.0;140.0;39.06465638608316;6.666300296783447
124;357.0;140.0;39.792945669573086;6.702319860458374
125;357.0;141.0;39.546997246658954;6.745541095733643
126;353.0;141.0;40.04216580998863;6.775397777557373
127;353.0;141.0;40.29472469297941;6.806199789047241
128;352.0;143.0;40.550691205076205;6.837435483932495
129;351.0;144.0;40.810136159722546;6.870075702667236
130;351.0;146.0;41.073132365522845;6.900197505950928
131;351.0;147.0;41.610080170974754;6.929609060287476
132;352.0;149.0;42.16215977666419;6.960336685180664
133;352.0;151.0;43.02011010764221;6.993344306945801
134;353.0;152.0;43.314401840841896;7.024402141571045
135;354.0;154.0;43.613002723699765;7.054074287414551
136;354.0;155.0;44.223523875484645;7.099113464355469
137;355.0;157.0;44.85248790472459;7.132198095321655
138;356.0;158.0;45.17415444006906;7.162287950515747
139;357.0;159.0;45.50076061211406;7.20346474647522
140;357.0;160.0;46.16926341255784;7.240346431732178
141;358.0;160.0;46.51140536136485;7.273350238800049
142;359.0;161.0;46.85897790135249;7.316847562789917
143;360.0;163.0;47.21211395944185;7.347059965133667
144;361.0;163.0;47.21211395944185;7.3771562576293945
145;361.0;164.0;47.21211395944185;7.410487651824951
146;362.0;165.0;47.57095087965803;7.442441463470459
147;362.0;166.0;47.935630609233954;7.472369432449341
148;362.0;166.0;48.30629989424091;7.507566213607788
149;363.0;167.0;48.30629989424091;7.550585031509399
150;363.0;169.0;49.06621935413908;7.58341121673584
151;363.0;170.0;49.06621935413908;7.613258361816406
152;363.0;172.0;49.45578892120729;7.6441650390625
153;364.0;174.0;50.25498852869077;7.6773552894592285
154;364.0;175.0;50.66497287857297;7.7085795402526855
155;363.0;176.0;51.08212709295823;7.740360975265503
156;363.0;177.0;51.08212709295823;7.769468545913696
157;363.0;179.0;51.93872634413312;7.801178693771362
158;363.0;180.0;51.93872634413312;7.830565452575684
159;363.0;181.0;52.826421721286756;7.86225438117981
160;362.0;182.0;53.28247527864001;7.896344900131226
161;362.0;183.0;53.28247527864001;7.926400899887085
162;361.0;183.0;54.22015714373518;7.96195125579834
163;361.0;183.0;54.70227777842125;8.004304885864258
164;360.0;183.0;55.19359587466159;8.03540563583374
165;359.0;183.0;55.19359587466159;8.066758155822754
166;358.0;182.0;56.204919513258;8.09684443473816
167;356.0;182.0;56.204919513258;8.12799334526062
168;356.0;182.0;56.72550029658726;8.158250093460083
169;355.0;183.0;56.72550029658726;8.191229581832886
170;355.0;183.0;57.25643016363742;8.22220492362976
171;355.0;183.0;57.79802707310758;8.252046585083008
172;354.0;184.0;58.35062227434938;8.284101724624634
173;354.0;184.0;58.91456101332877;8.314709901809692
174;354.0;185.0;58.91456101332877;8.358010530471802
175;354.0;185.0;59.4902032842518;8.408360481262207
176;354.0;185.0;59.4902032842518;8.439411401748657
177;354.0;185.0;60.07792463034753;8.47053575515747
178;354.0;185.0;59.4902032842518;8.504246950149536
179;353.0;184.0;59.4902032842518;8.536174058914185
180;353.0;184.0;60.07792463034753;8.566962242126465
181;353.0;183.0;60.07792463034753;8.599236965179443
182;352.0;183.0;60.07792463034753;8.642170667648315
183;352.0;183.0;60.07792463034753;8.671266794204712
184;352.0;183.0;60.6781169976114;8.703611612319946
185;351.0;184.0;60.6781169976114;8.733345746994019
186;351.0;184.0;61.91757012016524;8.766201257705688
187;351.0;184.0;61.91757012016524;8.796111106872559
188;351.0;184.0;62.55770529195613;8.827805042266846
189;351.0;184.0;62.55770529195613;8.860807418823242
190;351.0;184.0;62.55770529195613;8.894444227218628
191;351.0;184.0;63.21206246792186;8.935840845108032
192;351.0;184.0;63.21206246792186;8.96822714805603
193;352.0;184.0;63.88113057987117;8.999871730804443
194;352.0;183.0;63.88113057987117;9.031106948852539
195;352.0;183.0;64.56542145765128;9.063247442245483
196;352.0;183.0;64.56542145765128;9.094513177871704
197;352.0;183.0;65.26547119365623;9.126383781433105
198;352.0;183.0;65.26547119365623;9.156624555587769
199;352.0;183.0;65.98184160648469;9.18874478340149
200;353.0;184.0;65.98184160648469;9.218403339385986
201;352.0;185.0;66.71512181228096;9.268320798873901
202;352.0;186.0;66.71512181228096;9.300223112106323
203;352.0;187.0;66.71512181228096;9.332231044769287
204;352.0;188.0;67.46592991314286;9.375383138656616
205;352.0;188.0;67.46592991314286;9.407305240631104
206;351.0;189.0;67.46592991314286;9.450283765792847
207;352.0;189.0;67.46592991314286;9.483840942382812
208;352.0;190.0;67.46592991314286;9.5120849609375
209;352.0;190.0;67.46592991314286;9.544269561767578
210;353.0;191.0;67.46592991314286;9.576098918914795
211;354.0;191.0;68.23491481293073;9.609753370285034
212;355.0;191.0;69.02275817186825;9.660116910934448
213;355.0;191.0;69.02275817186825;9.692194938659668
214;355.0;191.0;68.23491481293073;9.734525442123413
215;356.0;191.0;69.02275817186825;9.766295433044434
216;356.0;190.0;69.02275817186825;9.798402786254883
217;357.0;189.0;69.83017651250852;9.830362319946289
218;358.0;189.0;70.65792349095962;9.861989498138428
219;358.0;188.0;70.65792349095962;9.893126964569092
220;360.0;188.0;71.50679234874536;9.922208070755005
221;361.0;187.0;71.50679234874536;9.956242799758911
222;362.0;188.0;73.27128270925078;9.987278699874878
223;362.0;187.0;73.27128270925078;10.0184326171875
224;362.0;187.0;73.27128270925078;10.048457384109497
225;362.0;187.0;74.1887135717299;10.08443284034729
226;361.0;187.0;74.1887135717299;10.119227886199951
227;361.0;187.0;74.1887135717299;10.151140689849854
228;361.0;187.0;74.1887135717299;10.183953285217285
229;360.0;188.0;74.1887135717299;10.214149951934814
230;360.0;188.0;75.1308915013436;10.244181632995605
231;360.0;188.0;75.1308915013436;10.275490283966064
232;359.0;189.0;75.1308915013436;10.311815023422241
233;359.0;189.0;75.1308915013436;10.357029438018799
234;358.0;189.0;75.1308915013436;10.40190839767456
235;358.0;189.0;75.1308915013436;10.435780763626099
236;357.0;188.0;75.1308915013436;10.48043417930603
237;357.0;189.0;76.09885207056908;10.511834859848022
238;357.0;190.0;76.09885207056908;10.54422903060913
239;357.0;191.0;77.09369004038997;10.575267791748047
240;357.0;192.0;78.11656367638771;10.60521125793457
241;357.0;192.0;78.11656367638771;10.641238689422607
242;357.0;193.0;79.16869944967414;10.683497428894043
243;356.0;193.0;79.16869944967414;10.715044260025024
244;356.0;194.0;78.11656367638771;10.750505924224854
245;356.0;194.0;78.11656367638771;10.796690940856934
246;355.0;194.0;79.16869944967414;10.84091067314148
247;355.0;194.0;79.16869944967414;10.87622857093811
248;355.0;194.0;79.16869944967414;10.918342113494873
249;355.0;194.0;79.16869944967414;10.949306011199951
250;354.0;194.0;79.16869944967414;10.980493783950806
251;350.0;192.0;79.16869944967414;11.023447751998901
252;348.0;192.0;78.11656367638771;11.056767702102661
253;347.0;191.0;78.11656367638771;11.087211608886719
254;345.0;191.0;77.09369004038997;11.133704900741577
255;343.0;191.0;76.09885207056908;11.166293621063232
256;342.0;191.0;77.09369004038997;11.196403503417969
257;341.0;191.0;77.09369004038997;11.227288722991943
258;340.0;191.0;76.09885207056908;11.261913537979126
259;340.0;191.0;76.09885207056908;11.305535078048706
260;339.0;192.0;76.09885207056908;11.337307214736938
261;339.0;192.0;76.09885207056908;11.366700887680054
262;339.0;192.0;75.1308915013436;11.39710283279419
263;339.0;191.0;75.1308915013436;11.427539348602295
264;338.0;191.0;75.1308915013436;11.45890736579895
265;338.0;191.0;75.1308915013436;11.492122650146484
266;338.0;191.0;76.09885207056908;11.525254726409912
267;338.0;191.0;75.1308915013436;11.572477340698242
268;339.0;191.0;75.1308915013436;11.616329431533813
269;339.0;191.0;75.1308915013436;11.648246049880981
270;339.0;191.0;75.1308915013436;11.678017854690552
271;340.0;191.0;75.1308915013436;11.71099066734314
272;341.0;192.0;75.1308915013436;11.741921663284302
273;341.0;191.0;75.1308915013436;11.773605108261108
274;341.0;191.0;75.1308915013436;11.805240869522095
275;341.0;192.0;75.1308915013436;11.834641456604004
276;342.0;191.0;75.1308915013436;11.885534286499023
277;343.0;191.0;75.1308915013436;11.933298587799072
278;343.0;192.0;75.1308915013436;11.964979887008667
279;344.0;191.0;76.09885207056908;11.99439549446106
280;345.0;192.0;76.09885207056908;12.027239799499512
281;345.0;192.0;76.09885207056908;12.057536125183105
282;346.0;193.0;76.09885207056908;12.088352918624878
283;346.0;193.0;76.09885207056908;12.11825442314148
284;346.0;194.0;75.1308915013436;12.152307510375977
285;347.0;194.0;76.09885207056908;12.185130596160889
286;347.0;196.0;75.1308915013436;12.213456153869629
287;348.0;196.0;76.09885207056908;12.246582984924316
288;349.0;197.0;76.09885207056908;12.276097774505615
289;349.0;198.0;77.09369004038997;12.306776285171509
290;349.0;199.0;76.09885207056908;12.340271234512329
291;350.0;199.0;77.09369004038997;12.374372243881226
